"","Broad grouping","Scientific_Name","Common_Name","CalCOFI sampled species","Federal Fished Species","Federal Marine Mammal Species","Threatened & Endangered Species","State Commercial Species","State Rec Species"
"23",NA,NA,"Aurora Rockfish",NA,NA,NA,NA,"State",NA
"24","All","Bacteria (e g , E  coli)","Bacterial Contamination","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"25","Marine mammals/Seabirds/Turtles","Berardius bairdii","Baird'S Beaked Whale","Species sampled by CalCOFI",NA,"Federal (CITES & MMPA)",NA,NA,NA
"26","Marine mammals/Seabirds/Turtles","Balaenoptera","Baleen Whales","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"27","Fish",NA,"Banded Guitarfish",NA,NA,NA,NA,NA,"State"
"28","Fish","Sebastes rufus","Bank Rockfish",NA,"Federal",NA,NA,"State","State"
"29","Inverts/Zooplankton",NA,"Barnacle",NA,NA,NA,NA,"State",NA
"30","Fish","Paralepididae","Barradcudinas","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"31","Fish",NA,"Barred Sand Bass",NA,NA,NA,NA,"State",NA
"32","Fish",NA,"Barred Sandbass",NA,NA,NA,NA,NA,"State"
"33","Fish",NA,"Barred Surfperch",NA,NA,NA,NA,"State","State"
"34",NA,"Macropinna microstoma","Barreleye",NA,NA,NA,NA,NA,NA
"35",NA,"Ophidion scrippsae","Basketweave cusk-eel",NA,NA,NA,NA,NA,NA
"36",NA,NA,"Basking Shark",NA,NA,NA,NA,"State",NA
"37","Fish",NA,"Bat Ray",NA,NA,NA,NA,"State","State"
"38","Inverts/Zooplankton",NA,"Bat Star",NA,NA,NA,NA,"State",NA
"39",NA,"Hypsoblennius gentilis","Bay blenny",NA,NA,NA,NA,NA,NA
"40",NA,"Lepidogobius lepidus","Bay goby",NA,NA,NA,NA,NA,NA
"41",NA,NA,"Bay Shrimp",NA,NA,NA,NA,"State",NA
"42","Marine mammals/Seabirds/Turtles","Mesoplodon","Beaked Whales","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"43",NA,"Cyclothone acclinidens","Benttooth bristlemouth",NA,NA,NA,NA,NA,NA
"44","Fish","Raja binoculata","Big Skate",NA,"Federal",NA,NA,"State","State"
"45",NA,"Bathyagonus pentacanthus","Bigeye poacher",NA,NA,NA,NA,NA,NA
"46",NA,NA,"Bigeye Thresher Shark",NA,NA,NA,NA,"State",NA
"47",NA,NA,"Bigeye Tuna",NA,NA,NA,NA,"State",NA
"48","Fish","Hippoglossina stomata","Bigmouth Sole","Species sampled by CalCOFI",NA,NA,NA,"State","State"
"49","Fish","Melamphaidae","Bigscales","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"50","Marine mammals/Seabirds/Turtles","Aves","Birds","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"51","Inverts/Zooplankton","Haliotis cracherodii","Black Abalone",NA,NA,NA,"Federal","State",NA
"52","Fish","Sebastes chrysomelas","Black And Yellow Rockfish",NA,"Federal",NA,NA,NA,"State"
"53",NA,"Cheilotrema saturnum","Black croaker",NA,NA,NA,NA,NA,NA
"54","Fish",NA,"Black Croaker",NA,NA,NA,NA,"State","State"
"55","Marine mammals/Seabirds/Turtles","Haematopus bachmani","Black Oystercatcher","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"56","Fish",NA,"Black Perch",NA,NA,NA,NA,NA,"State"
"57","Marine mammals/Seabirds/Turtles","Procellaria parkinsoni","Black Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"58","Fish","Sebastes melanops","Black Rockfish",NA,"Federal",NA,NA,"State","State"
"59","Marine mammals/Seabirds/Turtles","Melanitta nigra","Black Scoter","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"60","Marine mammals/Seabirds/Turtles","Rynchops niger","Black Skimmer","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"61",NA,NA,"Black Skipjack Tuna",NA,NA,NA,NA,"State",NA
"62",NA,"Nealotus tripes","Black snake mackerel",NA,NA,NA,NA,NA,NA
"63","Marine mammals/Seabirds/Turtles","Oceanodroma melania","Black Storm Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"64",NA,NA,"Black Surfperch",NA,NA,NA,NA,"State",NA
"65",NA,"Chiasmodon niger","Black swallower",NA,NA,NA,NA,NA,NA
"66","Fish","Chiasmodon","Black Swallower","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"67","Marine mammals/Seabirds/Turtles","Chlidonias niger","Black Tern","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"68","Marine mammals/Seabirds/Turtles","Arenaria melanocephala","Black Turnstone","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"69",NA,NA,"Black-And-Yellow Rockfish",NA,NA,NA,NA,"State",NA
"70","Marine mammals/Seabirds/Turtles","Pluvialis squatarola","Black-Bellied Plover","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"71","Marine mammals/Seabirds/Turtles","Phoebastria nigripes","Black-Footed Albatross","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"72","Marine mammals/Seabirds/Turtles","Rissa tridactyla","Black-Legged Kittiwake","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"73","Marine mammals/Seabirds/Turtles","Podiceps nigricollis","Black-Necked Grebe","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"74","Marine mammals/Seabirds/Turtles","Puffinus opisthomelas","Black-Vented Shearwater","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"75","Fish","Stomias atriventer","Blackbelly dragonfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"76",NA,"Scopelarchus analis","Blackbelly pearleye",NA,NA,NA,NA,NA,NA
"77",NA,"Rhinogobiops nicholsii","Blackeye goby",NA,NA,NA,NA,NA,NA
"78","Fish","Sebastes melanostomus","Blackgill rockfish",NA,"Federal",NA,NA,NA,NA
"79",NA,NA,"Blackgill Rockfish",NA,NA,NA,NA,"State",NA
"80","Fish","Chromis punctipinnis","Blacksmith","Species sampled by CalCOFI",NA,NA,NA,"State","State"
"81",NA,"Xeneretmus latifrons","Blacktip poacher",NA,NA,NA,NA,NA,NA
"82",NA,NA,"Blacktip Shark",NA,NA,NA,NA,"State",NA
"83","Marine mammals/Seabirds/Turtles","Mesoplodon densirostris","Blainville's Beaked Whale",NA,NA,"Federal (CITES & MMPA)",NA,NA,NA
"84","Fish","Hypsoblennius","Blennies","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"85",NA,"Typhlogobius californiensis","Blind goby",NA,NA,NA,NA,NA,NA
"86","Marine mammals/Seabirds/Turtles","Chen caerulescens","Blue Goose","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"87","Fish","Tarletonbeania crenularis","Blue lanternfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"88","Inverts/Zooplankton","Mytilus edulis","Blue Mussel",NA,"Federal",NA,NA,NA,NA
"89","Fish","Sebastes mystinus","Blue Rockfish",NA,"Federal",NA,NA,"State","State"
"90","Marine mammals/Seabirds/Turtles","Prionace glauca","Blue Shark","Species sampled by CalCOFI",NA,NA,NA,"State",NA
"91","Marine mammals/Seabirds/Turtles","Balaenoptera musculus","Blue Whale","Species sampled by CalCOFI",NA,"Federal (ESA & CITES & MMPA)","Federal",NA,NA
"92",NA,"Lythrypnus dalli","Bluebanded goby",NA,NA,NA,NA,NA,NA
"93",NA,NA,"Bluebanded Goby",NA,NA,NA,NA,"State",NA
"94",NA,"Plectobranchus evides","Bluebarred prickleback",NA,NA,NA,NA,NA,NA
"95",NA,"Psenes pellucidus","Bluefin driftfish (blackrag)",NA,NA,NA,NA,NA,NA
"96",NA,NA,"Bluefin Tuna",NA,NA,NA,NA,"State",NA
"97","Fish","Nansenia candida","Bluethroat argentine","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"98","Fish",NA,"Bluntnose Sixgill Shark",NA,NA,NA,NA,NA,"State"
"99",NA,"Cyema atrum","Bobtail eel",NA,NA,NA,NA,NA,NA
"100",NA,"Cyematidae","Bobtail Eels",NA,NA,NA,NA,NA,NA
"101","Fish","Sebastes paucispinis","Bocaccio","Species sampled by CalCOFI","Federal",NA,"Federal",NA,"State"
"102",NA,NA,"Bocaccio Rockfish",NA,NA,NA,NA,"State",NA
"103","Marine mammals/Seabirds/Turtles","Chroicocephalus philadelphia","Bonaparte's Gull","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"104","Fish",NA,"Bonefish",NA,NA,NA,NA,"State","State"
"105","Fish",NA,"Bonehead Sculpin",NA,NA,NA,NA,NA,"State"
"106","Marine mammals/Seabirds/Turtles","Sphyrna","Bonnethead Sharks","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"107",NA,"Danaphos oculatus","Bottlelight",NA,NA,NA,NA,NA,NA
"108","Fish",NA,"Bottomfish (Groundfish)",NA,NA,NA,NA,NA,"State"
"109",NA,NA,"Box Crab",NA,NA,NA,NA,"State",NA
"110","Marine mammals/Seabirds/Turtles","Phalacrocorax penicillatus","Brandt'S Cormorant","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"111","Marine mammals/Seabirds/Turtles","Branta bernicla","Brant","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"112","Marine mammals/Seabirds/Turtles","Spizella breweri","Brewer's Sparrow","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"113",NA,NA,"Brine Shrimp",NA,NA,NA,NA,"State",NA
"114","Fish","Gonostomatidae","Bristlemouths","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"115",NA,"Nannobrachium ritteri","Broadfin lampfish",NA,NA,NA,NA,NA,NA
"116","Fish","Sebastes gilli","Bronzespotted Rockfish",NA,"Federal",NA,NA,"State",NA
"117",NA,NA,"Broomtail Grouper",NA,NA,NA,NA,"State",NA
"118","Marine mammals/Seabirds/Turtles","Sula leucogaster","Brown Booby","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"119","Fish",NA,"Brown Bullhead",NA,NA,NA,NA,"State",NA
"120","Fish","Hemilepidotus spinosus","Brown Irish Lord","Species sampled by CalCOFI",NA,NA,NA,NA,"State"
"121","Marine mammals/Seabirds/Turtles","Anous stolidus","Brown Noddy","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"122","Marine mammals/Seabirds/Turtles","Pelecanus occidentalis","Brown Pelican","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"123",NA,NA,"Brown Rock Crab",NA,NA,NA,NA,"State",NA
"124","Fish","Sebastes auriculatus","Brown Rockfish",NA,"Federal",NA,NA,"State","State"
"125","Fish",NA,"Brown Smoothhound",NA,NA,NA,NA,NA,"State"
"126",NA,NA,"Brown Smoothhound Shark",NA,NA,NA,NA,"State",NA
"127",NA,"Dolichopteryx longipes","Brownsnout spookfish",NA,NA,NA,NA,NA,NA
"128","Marine mammals/Seabirds/Turtles","Balaenoptera edeni","Bryde’s Whale",NA,NA,"Federal (CITES & MMPA)",NA,NA,NA
"129","Inverts/Zooplankton",NA,"Bryozoan",NA,NA,NA,NA,"State",NA
"130",NA,NA,"Bubble Snail",NA,NA,NA,NA,"State",NA
"131",NA,"Enophrys bison","Buffalo sculpin",NA,NA,NA,NA,NA,NA
"132","Fish",NA,"Buffalo Sculpin",NA,NA,NA,NA,NA,"State"
"133","Marine mammals/Seabirds/Turtles","Bucephala albeola","Bufflehead","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"134",NA,NA,"Bull Frog",NA,NA,NA,NA,"State",NA
"135","Fish",NA,"Bull Sculpin",NA,NA,NA,NA,NA,"State"
"136","Fish","Salvelinus","Bull Trout",NA,NA,NA,"State & Federal",NA,NA
"137",NA,"Ichthyococcus irregularis","Bulldog lightfish",NA,NA,NA,NA,NA,NA
"138","Marine mammals/Seabirds/Turtles","Puffinus bulleri","Buller's Shearwater","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"139","Fish",NA,"Bullet Mackerel",NA,NA,NA,NA,"State","State"
"140","Fish","Isopsetta isolepis","Butter sole",NA,"Federal",NA,NA,NA,NA
"141",NA,NA,"Butter Sole",NA,NA,NA,NA,"State",NA
"142","Fish",NA,"Butterfish (Pacific Pompano)",NA,NA,NA,NA,"State",NA
"143","Fish","Pleuronichthys coenosus","C-O sole","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"144","Fish",NA,"C-O Sole",NA,NA,NA,NA,"State","State"
"145","Fish","Scorpaenichthys marmoratus","Cabezon","Species sampled by CalCOFI","Federal",NA,NA,"State","State"
"146","Marine mammals/Seabirds/Turtles","Branta hutchinsii","Cackling (=Aleutian Canada) Goose",NA,NA,NA,"Federal",NA,NA
"147","Fish","Sebastes dalli","Calico Rockfish",NA,"Federal",NA,NA,"State","State"
"148","Fish",NA,"Calico Surfperch",NA,NA,NA,NA,"State","State"
"149","Fish",NA,"California Barracuda",NA,NA,NA,NA,"State",NA
"150","Marine mammals/Seabirds/Turtles","Pelecanus occidentalis californicus","California Brown Pelican",NA,NA,NA,"State & Federal",NA,NA
"151","Fish",NA,"California Butterflyray",NA,NA,NA,NA,NA,"State"
"152",NA,"Menticirrhus undulatus","California corbina",NA,NA,NA,NA,NA,NA
"153","Fish",NA,"California Corbina",NA,NA,NA,NA,"State","State"
"154","Fish","Protomyctophum crockeri","California flashlightfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"155",NA,"Leuresthes tenuis","California grunion",NA,NA,NA,NA,NA,NA
"156","Fish",NA,"California Grunion",NA,NA,NA,NA,"State","State"
"157","Marine mammals/Seabirds/Turtles","Larus californicus","California Gull","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"158","Fish","Paralichthys californicus","California halibut","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"159","Fish",NA,"California Halibut",NA,NA,NA,NA,"State","State"
"160",NA,"Diaphus theta","California headlightfish",NA,NA,NA,NA,NA,NA
"161","Inverts/Zooplankton",NA,"California Jackknife Clam",NA,NA,NA,NA,"State",NA
"162",NA,NA,"California Killifish",NA,NA,NA,NA,"State",NA
"163","Fish","Symbolophorus californiensis","California lanternfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"164","Marine mammals/Seabirds/Turtles","Sternula antillarum browni","California Least Tern",NA,NA,NA,"State & Federal",NA,NA
"165",NA,"Synodus lucioceps","California lizardfish",NA,NA,NA,NA,NA,NA
"166","Fish",NA,"California Lizardfish",NA,NA,NA,NA,"State","State"
"167","Inverts/Zooplankton","vermilion rockfish","California Market Squid",NA,"Federal",NA,NA,NA,NA
"168","Fish",NA,"California Moray",NA,NA,NA,NA,NA,"State"
"169",NA,NA,"California Moray Eel",NA,NA,NA,NA,"State",NA
"170",NA,NA,"California Native Oyster",NA,NA,NA,NA,"State",NA
"171","Fish",NA,"California Needlefish",NA,NA,NA,NA,"State","State"
"172","Fish",NA,"California Scorpionfish",NA,NA,NA,NA,"State","State"
"173","Fish","Scorpaena guttata","California scorpionfish (sculpin)",NA,"Federal",NA,NA,NA,NA
"174","Marine mammals/Seabirds/Turtles","Zalophus californianus","California Sea Lion","Species sampled by CalCOFI",NA,"Federal (MMPA)",NA,NA,NA
"175",NA,"Semicossyphus pulcher","California sheephead",NA,NA,NA,NA,NA,NA
"176","Fish",NA,"California Sheephead",NA,NA,NA,NA,"State","State"
"177","Fish","Raja inornata","California Skate",NA,"Federal",NA,NA,"State","State"
"178","Fish","Leuroglossus stilbius","California smoothtongue","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"179",NA,NA,"California Spiny Lobster",NA,NA,NA,NA,"State",NA
"180","Fish","Symphurus atricaudus","California tonguefish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"181","Fish","Sebastes pinniger","Canary Rockfish",NA,"Federal",NA,NA,"State","State"
"182","Fish",NA,"Carp",NA,NA,NA,NA,"State",NA
"183","Marine mammals/Seabirds/Turtles","Elasmobranchii","Cartilaginous Fishes","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"184","Marine mammals/Seabirds/Turtles","Hydroprogne caspia","Caspian Tern","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"185","Marine mammals/Seabirds/Turtles","Ptychoramphus aleuticus","Cassin's Auklet","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"186","Marine mammals/Seabirds/Turtles","Cetacea","Cetaceans","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"187",NA,NA,"Chameleon Rockfish",NA,NA,NA,NA,"State",NA
"188",NA,"Ilypnus gilberti","Cheekspot goby",NA,NA,NA,NA,NA,NA
"189","Fish","Sebastes goodei","Chilipepper","Species sampled by CalCOFI","Federal",NA,NA,NA,"State"
"190",NA,NA,"Chilipepper Rockfish",NA,NA,NA,NA,"State",NA
"191","Fish","Sebastes nebulosus","China Rockfish",NA,"Federal",NA,NA,"State","State"
"192",NA,NA,"Chinook Salmon",NA,NA,NA,NA,"State",NA
"193",NA,"Rosenblattichthys volucris","Chubby pearleye",NA,NA,NA,NA,NA,NA
"194",NA,NA,"Chum Salmon",NA,NA,NA,NA,"State",NA
"195","Marine mammals/Seabirds/Turtles","Aechmophorus clarkii","Clark's Grebe","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"196",NA,NA,"Claws Crab",NA,NA,NA,NA,"State",NA
"197",NA,"Gobiesocidae","Clingfishes",NA,NA,NA,NA,NA,NA
"198","Fish",NA,"Clinid Family",NA,NA,NA,NA,NA,"State"
"199",NA,NA,"Coho Salmon",NA,NA,NA,NA,"State",NA
"200",NA,NA,"Colonial Invertebrates",NA,NA,NA,NA,"State",NA
"201","Marine mammals/Seabirds/Turtles","Tursiops truncatus","Common Bottlenose Dolphin","Species sampled by CalCOFI",NA,"Federal (CITES & MMPA)",NA,NA,NA
"202","Fish","Coryphaena hippurus","Common dolphinfish",NA,"Federal",NA,NA,NA,NA
"203","Inverts/Zooplankton",NA,"Common Littleneck Clam",NA,NA,NA,NA,"State",NA
"204","Marine mammals/Seabirds/Turtles","Gavia immer","Common Loon","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"205","Marine mammals/Seabirds/Turtles","Uria aalge","Common Murre","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"206","Marine mammals/Seabirds/Turtles","Sturnus vulgaris","Common Starling","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"207","Marine mammals/Seabirds/Turtles","Sterna hirundo","Common Tern","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"208","Inverts/Zooplankton",NA,"Common Washington Clam",NA,NA,NA,NA,"State",NA
"209",NA,"Valenciennellus tripunctulatus","Constellationfish",NA,NA,NA,NA,NA,NA
"210","Marine mammals/Seabirds/Turtles","Pterodroma cookii","Cook's Petrel","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"211",NA,NA,"Coonstriped Shrimp",NA,NA,NA,NA,"State",NA
"212",NA,NA,"Copper (Whitebelly) Rockfish",NA,NA,NA,NA,"State",NA
"213","Fish","Sebastes caurinus","Copper Rockfish",NA,"Federal",NA,NA,"State","State"
"214","Marine mammals/Seabirds/Turtles","Phalacrocorax","Cormorants","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"215",NA,NA,"Coronado Sea Urchin",NA,NA,NA,NA,"State",NA
"216","Fish","Sebastes levis","Cow rockfish (cowcod)","Species sampled by CalCOFI","Federal",NA,NA,NA,NA
"217",NA,NA,"Cow Sharks",NA,NA,NA,NA,"State",NA
"218","Fish",NA,"Cowcod",NA,NA,NA,NA,NA,"State"
"219",NA,NA,"Cowcod Rockfish",NA,NA,NA,NA,"State",NA
"220","Marine mammals/Seabirds/Turtles","Synthliboramphus craveri","Craveri'S Murrelet","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"221",NA,"Poromitra crassiceps","Crested bigscale",NA,NA,NA,NA,NA,NA
"222","Fish","Sciaenidae","Croakers","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"223","Fish","Pleuronichthys decurrens","Curlfin sole","Species sampled by CalCOFI","Federal",NA,NA,NA,NA
"224","Fish",NA,"Curlfin Sole",NA,NA,NA,NA,"State","State"
"225",NA,"Trichiuridae","Cutlassfishes",NA,NA,NA,NA,NA,NA
"226","Marine mammals/Seabirds/Turtles","Ziphius cavirostris","Cuvier's Beaked Whale","Species sampled by CalCOFI",NA,"Federal (CITES & MMPA)",NA,NA,NA
"227","Marine mammals/Seabirds/Turtles","Phocoenoides dalli","Dall's Porpoise","Species sampled by CalCOFI",NA,"Federal (CITES & MMPA)",NA,NA,NA
"228",NA,"Pomacentridae","Damselfishes",NA,NA,NA,NA,NA,NA
"229","Fish","Sebastes crameri","Darkblotched Rockfish",NA,"Federal",NA,NA,"State",NA
"230","Fish","Embassichthys bathybius","Deep-sea Sole","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"231","Fish",NA,"Deepbody Anchovy",NA,NA,NA,NA,"State",NA
"232",NA,"Bathylagidae","Deepsea smelts",NA,NA,NA,NA,NA,NA
"233",NA,"Cryptotrema corallinum","Deepwater blenny",NA,NA,NA,NA,NA,NA
"234","Fish",NA,"Diamond Stingray",NA,NA,NA,NA,NA,"State"
"235",NA,"Pleuronichthys guttulata","Diamond turbot",NA,NA,NA,NA,NA,NA
"236","Fish",NA,"Diamond Turbot",NA,NA,NA,NA,"State","State"
"237","Fish","Diogenichthys laternatus","Diogenes Lanternfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"238","Fish",NA,"Dogfish Shark Family",NA,NA,NA,NA,NA,"State"
"239","Fish","Ceratoscopelus townsendi","Dogtooth Lampfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"240",NA,"Sternoptyx spp.","Dollar hatchetfishes",NA,NA,NA,NA,NA,NA
"241",NA,NA,"Dolphin (Fish)",NA,NA,NA,NA,"State",NA
"242","Marine mammals/Seabirds/Turtles","Delphinidae","Dolphins","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"243","Marine mammals/Seabirds/Turtles","Phalacrocorax auritus","Double-Crested Cormorant","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"244","Fish","Microstomus pacificus","Dover sole","Species sampled by CalCOFI","Federal",NA,NA,NA,NA
"245","Fish",NA,"Dover Sole",NA,NA,NA,NA,"State","State"
"246","Marine mammals/Seabirds/Turtles","Limnodromus","Dowitchers","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"247",NA,"Oneirodes spp.","Dreamers",NA,NA,NA,NA,NA,NA
"248",NA,"Oneirodidae","Dreamers",NA,NA,NA,NA,NA,NA
"249","Fish",NA,"Drum Family",NA,NA,NA,NA,NA,"State"
"250",NA,"Magnisudis atlantica","Duckbill barracudina",NA,NA,NA,NA,NA,NA
"251","Marine mammals/Seabirds/Turtles","Anatidae","Ducks","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"252","Inverts/Zooplankton",NA,"Dungeness crab",NA,NA,NA,NA,NA,"State"
"253",NA,NA,"Dungeness Crab",NA,NA,NA,NA,"State",NA
"254",NA,"Microstoma spp.","Dusky pencilsmelt",NA,NA,NA,NA,NA,NA
"255","Fish","Sebastes ciliatus","Dusky Rockfish",NA,"Federal",NA,NA,NA,NA
"256",NA,NA,"Dusky Shark",NA,NA,NA,NA,"State",NA
"257","Fish","Loweina rara","Dwarf lanternfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"258","Fish",NA,"Dwarf Perch",NA,NA,NA,NA,NA,"State"
"259","Marine mammals/Seabirds/Turtles","Kogia sima","Dwarf Sperm Whale",NA,NA,"Federal (CITES & MMPA)",NA,NA,NA
"260",NA,NA,"Dwarf Surfperch",NA,NA,NA,NA,"State",NA
"261","Marine mammals/Seabirds/Turtles","Otariidae","Eared Seals","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"262",NA,NA,"Eastern Oyster",NA,NA,NA,NA,"State",NA
"263",NA,"Gonostoma ebelingi","Ebeling's fangjaw",NA,NA,NA,NA,NA,NA
"264","Fish","Anguilliformes","Eel","Species sampled by CalCOFI",NA,NA,NA,"State",NA
"265","Fish",NA,"Eel Order",NA,NA,NA,NA,NA,"State"
"266","Fish","Electrona risso","Electric Lanternfish","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"267","Marine mammals/Seabirds/Turtles","Thalasseus elegans","Elegant Tern","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"268","Fish","Parophrys vetulus","English sole","Species sampled by CalCOFI","Federal",NA,NA,NA,NA
"269",NA,NA,"English Sole",NA,NA,NA,NA,"State",NA
"270",NA,"Abraliopsis felis","Enoploteuthid cephalopod",NA,NA,NA,NA,NA,NA
"271",NA,"Lepidocybium flavobrunneum","Escolar",NA,NA,NA,NA,"State",NA
"272",NA,NA,"Eulachon",NA,NA,NA,NA,"State",NA
"273","Marine mammals/Seabirds/Turtles","Streptopelia decaocto","Eurasian Collared Dove","Species sampled by CalCOFI",NA,NA,NA,NA,NA
"274",NA,NA,"European Flat Oyster",NA,NA,NA,NA,"State",NA
"275","Marine mammals/Seabirds/Turtles","Pseudorca crassidens","False Killer Whale","Species sampled by CalCOFI",NA,"Federal (ESA & CITES & MMPA)",NA,NA,NA
"276",NA,"Caulophryne spp.","Fanfins",NA,NA,NA,NA,NA,NA
"277",NA,"Gonostoma spp.","Fangjaws",NA,NA,NA,NA,NA,NA
"278",NA,"Xystreurys liolepis","Fantail sole",NA,NA,NA,NA,NA,NA
